name,y_cord,x_cord
Adair,41.3285283,-94.4781643
Adams,41.0216555,-94.6969059
Allamakee,43.2749637,-91.3827509
Appanoose,40.7446825,-92.8703449
Audubon,41.679178,-94.9043118
Benton,42.0925474,-92.0576299
Black Hawk,42.4728884,-92.3060589
Boone,42.0386005,-93.9391375
Bremer,42.7808901,-92.3275863
Buchanan,42.4703284,-91.8386658
Buena Vista,42.7415219,-95.1414325
Butler,42.7347075,-92.7800664
Calhoun,42.3861698,-94.6436829
Carroll,42.0394919,-94.8676471
Cass,41.3338235,-94.9333023
Cedar,41.7723546,-91.1321899
Cerro Gordo,43.0751707,-93.251266
Cherokee,42.7427375,-95.6332616
Chickasaw,43.0597408,-92.3172101
Clarke,41.0291907,-93.784096
Clay,43.079822,-95.1497261
Clayton,42.8409038,-91.3239686
Clinton,41.8980731,-90.534243
Crawford,42.0431191,-95.3890902
Dallas,41.6853206,-94.0407065
Davis,40.7480892,-92.4103452
Decatur,40.7363787,-93.7845799
Delaware,42.4730031,-91.3594424
Des Moines,40.9153392,-91.1869252
Dickinson,43.3896107,-95.1960572
Dubuque,42.4634808,-90.8787708
Emmet,43.3779844,-94.6693701
Fayette,42.8644495,-91.8393728
Floyd,43.052741,-92.7873668
Franklin,42.7365489,-93.2714246
Fremont,40.7437257,-95.5995158
Greene,42.0424939,-94.3887028
Grundy,42.4033231,-92.7902612
Guthrie,41.6835727,-94.5012723
Hamilton,42.390768,-93.7091979
Hancock,43.0754105,-93.7436965
Hardin,42.3899554,-93.2410809
Harrison,41.6885843,-95.8271491
Henry,40.985864,-91.5442697
Howard,43.3653124,-92.3219084
Humboldt,42.7822212,-94.2027754
Ida,42.39186,-95.5074206
Iowa,41.6839184,-92.0591226
Jackson,42.1642812,-90.5745964
Jasper,41.6856862,-93.0529712
Jefferson,41.0078821,-91.9674591
Johnson,41.6687272,-91.5887572
Jones,42.1251175,-91.1169141
Keokuk,41.3311823,-92.1677213
Kossuth,43.2124776,-94.213983
Lee,40.6475875,-91.4771574
Linn,42.0779506,-91.5976735
Louisa,41.218211,-91.2569935
Lucas,41.033344,-93.3314666
Lyon,43.3835795,-96.207201
Madison,41.3306215,-94.0151842
Mahaska,41.3307969,-92.6363662
Marion,41.3314551,-93.093849
Marshall,42.041691,-92.9814522
Mills,41.0337027,-95.6191009
Mitchell,43.3485642,-92.7844663
Monona,42.0494316,-95.956566
Monroe,41.0288472,-92.8696415
Montgomery,41.0217348,-95.1577895
Muscatine,41.483776,-91.1186992
O'Brien,43.0837455,-95.6256244
Osceola,43.3785421,-95.6337877
Page,40.7390902,-95.1442898
Palo Alto,43.0758536,-94.6672964
Plymouth,42.7375853,-96.2158637
Pocahontas,42.7340332,-94.6782788
Polk,41.6842807,-93.5697204
Pottawattamie,41.3401835,-95.5449053
Poweshiek,41.6845261,-92.5228819
Ringgold,40.7353342,-94.2442514
Sac,42.3875258,-95.1052244
Scott,41.6416792,-90.6222899
Shelby,41.6790143,-95.3089173
Sioux,43.0828542,-96.1779288
Story,42.0375378,-93.4660934
Tama,42.0748481,-92.5294114
Taylor,40.7379489,-94.6971081
Union,41.0285502,-94.2450907
Van Buren,40.7541168,-91.952943
Wapello,41.031263,-92.4094821
Warren,41.3367685,-93.5643661
Washington,41.3294011,-91.7250522
Wayne,40.7399826,-93.3326125
Webster,42.4343969,-94.1791564
Winnebago,43.3781243,-93.7434883
Winneshiek,43.2929889,-91.850788
Woodbury,42.3932198,-96.0532956
Worth,43.373491,-93.2485332
Wright,42.7330073,-93.7347351
