DISTRICT,lat,long
1,43.24571932,-95.36595489
2,42.9623349,-95.85140011
3,42.60624489,-96.19629221
4,43.13519244,-94.0215613
5,42.58305868,-94.46371961
6,42.22241269,-95.03583615
7,42.52156201,-96.34167859
8,41.24031777,-95.86396826
9,41.96817278,-95.67462371
10,41.56328029,-94.36639144
11,41.21260101,-95.00981657
12,40.82420475,-95.05505594
13,41.33161577,-93.7863598
14,41.00414601,-93.43515246
15,41.71167307,-93.17748073
16,41.60388389,-93.54165754
17,41.55231774,-93.59017798
18,41.6223119,-93.66020727
19,41.74173201,-93.59605086
20,41.69676662,-93.75517003
21,41.54412804,-93.71914436
22,41.59163068,-93.82111396
23,42.02371432,-93.56755632
24,42.17235506,-94.00216671
25,42.33881347,-93.07973744
26,43.23613463,-92.64236709
27,42.85648732,-93.16480091
28,43.07776492,-91.52452764
29,42.25712611,-90.81180562
30,42.43958793,-92.46677084
31,42.42554998,-92.23557721
32,42.66188715,-92.06293403
33,41.99849682,-91.65780668
34,41.97305927,-91.5712803
35,41.93560061,-91.73260507
36,42.0728688,-92.71837228
37,41.76486478,-91.21740181
38,41.83648964,-92.20958221
39,41.43088894,-91.88605368
40,41.06460617,-92.75612474
41,40.84256316,-92.1710627
42,40.86117792,-91.55651772
43,41.64227169,-91.51855976
44,41.17748313,-91.21355278
45,41.516901,-90.64428321
46,41.563785,-90.8323688
47,41.5680873,-90.49447328
48,42.30423309,-91.45989391
49,41.85652654,-90.52851561
50,42.50954368,-90.71396761
